序号,评论标识号,上级评论,用户标识符,时间,用户名,性别,评论内容,评论点赞数,评论回复数,粉丝牌,评论IP,用户简介,是否认证,会员等级,用户粉丝数,用户关注数,用户转赞评数
1,5178199313219748,,6027346321,2025-06-16 16:26:24,吃多了就不吃了,女,来亲,0,0,铁粉3,江西,,否,1,525,120,104
2,5178172010401969,,7719457671,2025-06-16 14:37:56,微辣霸王龙,男,又能怎,0,0,金粉2,山东,,否,0,15,69,11
3,5178171980778976,,7719457671,2025-06-16 14:37:49,微辣霸王龙,男,如何呢,0,0,金粉2,山东,,否,0,15,69,11
4,5178142947804723,,7931846553,2025-06-16 12:42:27,依依蕾鲸,女,好喜欢,0,0,金粉1,贵州,,否,0,12,47,150
5,5177959833929669,,7284155895,2025-06-16 00:34:49,小猪气泡_,女,让我亲一口😚,0,0,钻粉1,广东,那童年的希望是一台时光机～,否,1,9,206,419
6,5177952124017710,,7466833303,2025-06-16 00:04:11,说着没办法呀然后深深叹了一口气,女,老公[馋嘴],0,0,铁粉3,湖北,少自作多情,否,1,8,129,159
7,5177934798652373,,6268916134,2025-06-15 22:55:20,春雨赠春归,男,时尚美女单依纯音乐探索征程上的无畏与勇敢尽显闪耀而精彩的青春！,0,0,钻粉4,陕西,人生哪能多如意，万事只求半称心！,否,1,189,163,42686
8,5177842560143687,,7902305838,2025-06-15 16:48:49,林一一一一一-,女,姐姐很飒,0,0,,贵州,喜欢侯明昊和邓为和敖瑞鹏和林一,否,0,0,50,24
9,5177833458762687,,7815804727,2025-06-15 16:12:39,irain-xi,女,帅死了[打call],0,0,铁粉2,福建,你瞳孔的深浅 我马上就要知道了,否,0,28,152,25
10,5177811908430961,,2290800773,2025-06-15 14:47:01,网摘文选,男,哪位大佬出面把单依纯与陈丽君请回嵊州搞个演唱会，唱歌、唱越剧，相互火上浇油[哈哈]顺带火一下嵊州,1,0,,广东,,否,0,40,689,241
11,5177777079714018,,7968994811,2025-06-15 12:28:36,倪是我的小苹果NINI,女,[打call],0,0,,山西,,否,1,5,73,
12,5177770759424468,,7933828153,2025-06-15 12:03:30,-Elaine-宁,女,好美,0,0,铁粉1,福建,纯心相依！永不担行！ 还是学生到周末and寒暑假活跃哦 纯牛奶们交友呀,否,0,1,24,25
13,5177590757461650,,7850006528,2025-06-15 00:08:14,枯树伊帝,女,美成啥了,0,0,,河北,Yuii7      逾期的爱,否,0,5,173,33
14,5177588808947295,,7370757944,2025-06-15 00:00:30,一一小欧包,女,巨美[心][心],0,0,金粉1,陕西,永远年轻，永远热泪盈眶🥹 超级超级爱单依纯,否,0,10,38,973
15,5177584460762215,,6268916134,2025-06-14 23:43:13,春雨赠春归,男,妙音少女单依纯的音乐值得用心来慢慢细细品味！,0,0,钻粉4,陕西,人生哪能多如意，万事只求半称心！,否,1,189,163,42686
16,5177581259460592,,6740497928,2025-06-14 23:30:30,Tooby--,男,好米,2,0,铁粉1,北京,舞者 在北京上学  coco&黄妈的毒舌粉 嘴很毒 谨慎言论,否,0,308,74,91
17,5177580312336346,,7930049232,2025-06-14 23:26:44,念棣长乐,女,宝宝好美[打call],1,0,,江苏,,否,0,0,236,36
18,5177562650121599,,7598049494,2025-06-14 22:16:33,以音乐吻我痛疤,女,这个侧脸已经是神了吧[泪],0,0,,湖北,,否,0,0,4,1
19,5177561472830044,,6580233355,2025-06-14 22:11:52,Huafew,男,好美啊老婆,1,0,钻粉1,广东,,否,0,17,29,3
20,5177535526605564,,8004368539,2025-06-14 20:28:46,达啦啦啦啊,男,[打call][打call][打call][打call],0,0,铁粉1,安徽,,否,0,27,59,3
21,5177526126117084,,8004652721,2025-06-14 19:51:24,Kiku-欣筱祎,女,如何呢？又能怎~,0,0,,河北,,否,0,1,9,28
22,5177515133108564,,7564543063,2025-06-14 19:07:43,向隅likerain,女,[馋嘴],1,1,金粉3,安徽,单依纯 严浩翔 艾米,否,1,157,339,3946
23,5177515178986187,5177515133108564,7564543063,2025-06-14 19:07:55,向隅likerain,女,@单依纯,1,0,金粉3,安徽,单依纯 严浩翔 艾米,否,1,157,339,3946
24,5177513896838747,,7986357123,2025-06-14 19:02:49,真奇霖深铭记,女,[doge].,0,0,,山西,峰峻妹+生米 二代担：张真源贺峻霖 四代担：陈浚铭左奇函,否,0,9,86,106
25,5177497349001071,,8005821925,2025-06-14 17:57:04,用户_8005821925,女,[泪],0,0,,山东,,否,0,0,0,0
26,5177488059140536,,7987097821,2025-06-14 17:20:09,viookgg,男,[doge],0,0,,广东,论成败人生豪迈大不了从头再来,否,0,10,21,0
27,5177485107134527,,7608281971,2025-06-14 17:08:24,纯纯小天后,女,粉丝福利宝宝[泪][泪][泪],0,0,铁粉4,四川,为了单依纯开的第n个微博,否,1,29,159,408
28,5177478075122799,,7778279202,2025-06-14 16:40:29,小颖在干嘛_SYC_昵称仅一版,女,妈咪,0,0,钻粉1,吉林,~依旧奕颖~ 原来叫颖颖是只小颖！只有一个号 没有其他小号🎺,否,1,117,155,2221
29,5177470083140943,,7956515293,2025-06-14 16:08:43,莜箬775,男,喜欢喜欢[打call][心],0,0,铁粉1,江西,,否,0,11,5,0
30,5177444241244681,,6365919176,2025-06-14 14:26:02,苦瓜忆往昔,女,姐姐[爱慕][爱慕],0,0,金粉2,广东,祝你天天开心,否,1,318,340,2690
31,5177442547534104,,7993582801,2025-06-14 14:19:18,祝我花开富贵,女,太好看了宝宝,0,0,,陕西,“败降不是败将，而是败给你温霜降。”,否,0,3,19,0
32,5177411135869589,,7871135090,2025-06-14 12:14:29,安室透是我未婚夫,女,美哭了宝宝[泪],0,0,,上海,,否,0,0,15,0
33,5177393675241162,,2364424817,2025-06-14 11:05:06,程鑫鑫年,女,好美好美,0,0,,浙江,,否,0,1,16,0
34,5177389911115737,,7976109237,2025-06-14 10:50:09,谁在y,女,如何呢，又能怎[怒骂],0,0,铁粉1,湖北,,否,0,1,56,23
35,5177387148118174,,7985389777,2025-06-14 10:39:10,苏温心O,女,好看,0,0,,湖南,,否,0,0,0,0
36,5177385645506894,,7943292512,2025-06-14 10:33:11,用户7943292512,女,如何呢,0,0,,河北,,否,0,0,1,0
37,5177381847304104,,7756883650,2025-06-14 10:18:06,香菜配罐头_,女,如何呢又能怎,0,0,,山东,关晓彤从来不是一夜成名 关晓彤95top1+领头羊 副担Angelababy 陈都灵 鞠婧祎 孙俪 巨雷zls ysx lyr 糊咖,否,0,19,52,3
38,5177379229008738,,3164337795,2025-06-14 10:07:42,赢钱在股市,男,我不数衣云。？,0,0,,广东,,否,0,9,120,0
